respondent,preference,Gender,Age,MaritalStatus,Children,FirstPurchase,AgeCat,ChildCat,IncomeCat
228,1,1,31,3,0,2,3,0,6
229,2,2,40,1,0,1,5,0,6
230,1,2,22,3,0,2,1,0,4
231,1,1,20,1,0,2,1,0,3
232,1,2,39,1,0,2,4,0,3
233,2,2,27,3,0,1,2,0,5
234,2,1,56,3,0,2,6,0,4
235,2,1,20,1,0,2,1,0,2
236,1,1,36,2,0,2,4,0,1
237,2,2,29,1,0,2,2,0,1
238,3,1,42,1,3,2,5,2,2
239,3,1,24,1,0,2,1,0,2
240,3,1,25,1,2,2,2,2,6
241,1,1,34,1,1,2,3,1,1
242,1,1,43,1,0,2,5,0,2
243,1,2,22,1,1,2,1,1,2
244,2,1,26,2,0,2,2,0,2
245,3,1,36,3,0,2,4,0,6
246,1,1,52,1,0,2,6,0,5
247,1,2,42,1,0,2,5,0,2
248,1,1,34,2,0,2,3,0,4
249,2,2,34,3,0,2,3,0,6
250,1,2,43,1,0,1,5,0,2
